ScenarioID,Iteration,Timestep,SecondaryStratumID,StockGroupID,Amount
74,1,2001,Wyoming,DOM: Soil,496202423.35051227
74,1,2001,Wyoming,DOM: Standing Deadwood,15862520.414160118
74,1,2001,Wyoming,DOM: Down Deadwood,43558759.022296965
74,1,2001,North Dakota,Atmosphere: CH4 [Type],0
74,1,2001,North Dakota,Atmosphere: CO2 [Type],0
74,1,2001,North Dakota,Atmosphere: CO [Type],0
74,1,2001,North Dakota,Biomass: Coarse Root [Type],143199.98946264386
74,1,2001,North Dakota,Biomass: Fine Root [Type],53024.2099404335
74,1,2001,North Dakota,Biomass: Foliage [Type],25503.300022287294
74,1,2001,North Dakota,Biomass: Merchantable [Type],191301.30861299112
74,1,2001,North Dakota,Biomass: Other Wood [Type],194869.20995153487
74,1,2001,North Dakota,DOM: Aboveground Fast [Type],631569.068646431
74,1,2001,North Dakota,DOM: Aboveground Medium [Type],526535.9987556934
74,1,2001,North Dakota,DOM: Aboveground Slow [Type],1733175.240802765
74,1,2001,North Dakota,DOM: Aboveground Very Fast [Type],80485.39025485516
74,1,2001,North Dakota,DOM: Belowground Fast [Type],136818.38967949152
74,1,2001,North Dakota,DOM: Belowground Slow [Type],4831023.679733276
74,1,2001,North Dakota,DOM: Belowground Very Fast [Type],15042.07000657916
74,1,2001,North Dakota,DOM: Black Carbon [Type],0
74,1,2001,North Dakota,DOM: Snag Branch [Type],6026.850028365152
74,1,2001,North Dakota,DOM: Snag Stem [Type],7008.419996940211
74,1,2001,North Dakota,Forestry Sector [Type],0
74,1,2001,North Dakota,Atmosphere [Type],0
74,1,2001,North Dakota,Black Carbon [Type],0
74,1,2001,North Dakota,Peat [Type],0
74,1,2001,North Dakota,Biomass: Aboveground,411673.8185868133
74,1,2001,North Dakota,Biomass: Belowground,196224.19940307736
74,1,2001,North Dakota,Biomass: Total,607898.0179898906
74,1,2001,North Dakota,DOM: Aboveground,13035.270025305363
74,1,2001,North Dakota,DOM: Belowground,7954649.8378790915
74,1,2001,North Dakota,DOM: Total,7967685.107904397
74,1,2001,North Dakota,Total Ecosystem,8575583.125894288
74,1,2001,North Dakota,DOM: Deadwood,676389.6584604903
